Название статьи;Текст
Статья 312. Незаконные действия в отношении имущества, подвергнутого описи или аресту либо подлежащего конфискации;УК РФ Статья 312. Незаконные действия в отношении имущества, подвергнутого описи или аресту либо подлежащего конфискации 1.Растрата,отчуждение,сокрытиеилинезаконная передачаимущества, подвергнутого описи или аресту, совершенныелицом, которому это имущество вверено, а равно осуществление служащим кредитной организации банковских операций с денежными средствами (вкладами), на которые наложен арест, - наказываются штрафом в размере до восьмидесяти тысяч рублей или в размере заработной платы или иного дохода осужденного за период до шести месяцев, либо обязательными работами на срок до четырехсот восьмидесяти часов, либо принудительными работами на срок до двух лет, либо арестом на срок до шести месяцев, либо лишением свободы на срок до двух лет. 2. Сокрытие илиприсвоениеимущества, подлежащего конфискации по приговору суда, а равно иноеуклонениеот исполнения вступившего в законную силу приговора суда о назначении конфискации имущества - наказываются штрафом в размере от ста тысяч до пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до трех лет, либо принудительными работами на срок до трех лет, либо лишением свободы на срок до трех лет со штрафом в размере до восьмидесяти тысяч рублей или в размере заработной платы или иного дохода осужденного за период до шести месяцев.
Статья 313. Побег из места лишения свободы, из-под ареста или из-под стражи;УК РФ Статья 313. Побег из места лишения свободы, из-под ареста или из-под стражи 1. Побег из места лишения свободы, из-под ареста или из-под стражи, совершенный лицом, отбывающим наказание или находящимся в предварительном заключении, - наказывается принудительными работами на срок до четырех лет либо лишением свободы на тот же срок. 2. То же деяние, совершенное группой лиц по предварительному сговору или организованной группой, - наказывается принудительными работами на срок до пяти лет либо лишением свободы на тот же срок. 3. Деяния, предусмотренныечастями первойиливторойнастоящей статьи, совершенные с применением насилия, опасного для жизни или здоровья, либо с угрозой применения такого насилия, а равно с применением оружия или предметов, используемых в качестве оружия, - наказываются принудительными работами на срок до пяти лет либо лишением свободы на срок до восьми лет.
Статья 314. Уклонение от отбывания ограничения свободы, лишения свободы, а также от применения принудительных мер медицинского характера;УК РФ Статья 314. Уклонение от отбывания ограничения свободы, лишения свободы, а также от применения принудительных мер медицинского характера  (в ред. Федеральногозаконаот 27.12.2009 N 377-ФЗ) (см. текст в предыдущейредакции)  1.Злостное уклонениелица, осужденного к ограничению свободы, от отбывания наказания - наказывается принудительными работами на срок до одного года либо лишением свободы на тот же срок. 2. Невозвращение в исправительное учреждение лица, осужденного к лишению свободы, которому разрешен выезд за пределы исправительного учреждения, по истечении срока выезда либо неявка в соответствующий орган уголовно-исполнительной системы лица, осужденного к лишению свободы, которому предоставлена отсрочка исполнения приговора или отбывания наказания, по истечении срока отсрочки - наказывается принудительными работами на срок до двух лет либо лишением свободы на тот же срок. 3. Уклонение лица, страдающего расстройством сексуального предпочтения (педофилией), не исключающим вменяемости, от применения к нему принудительных мер медицинского характера - наказывается лишением свободы на срок до одного года. Примечания. 1. Уголовная ответственность за совершение деяния, предусмотренногочастью первойнастоящей статьи, наступает в случае, когда ограничение свободы назначено лицу в качестве дополнительного наказания. 2. Уголовная ответственность за совершение деяния, предусмотренногочастью третьейнастоящей статьи, наступает в случае, когда принудительные меры медицинского характера применяются к лицу после отбытия наказания. 
Статья 314.1. Уклонение от административного надзора или неоднократное несоблюдение установленных судом в соответствии с федеральным законом ограничения или ограничений;УК РФ Статья 314.1. Уклонение от административного надзора или неоднократное несоблюдение установленных судом в соответствии с федеральным законом ограничения или ограничений  (введена Федеральнымзакономот 06.04.2011 N 66-ФЗ)  1.Неприбытиебезуважительныхпричинлица, в отношении которого установлен административныйнадзорпри освобождении из мест лишения свободы, к избранному имместу жительства или пребыванияв определенный администрацией исправительного учреждения срок, а равносамовольноеоставление поднадзорным лицом места жительства, пребывания или фактического нахождения, совершенные вцеляхуклонения от административного надзора, - наказываются обязательными работами на срок от ста восьмидесяти до двухсот сорока часов, либо исправительными работами на срок до двух лет, либо лишением свободы на срок до одного года. 2.Неоднократноенесоблюдение лицом, в отношении которого установлен административный надзор, административных ограничения или ограничений, установленных ему судом в соответствии с федеральным законом, сопряженное с совершением данным лицом административного правонарушения против порядка управления (за исключением административного правонарушения, предусмотренногостатьей 19.24Кодекса Российской Федерации об административных правонарушениях), либо административного правонарушения, посягающего на общественный порядок и общественную безопасность, либо административного правонарушения, посягающего на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность, либо административного правонарушения, предусмотренногочастью 7 статьи 11.5, либостатьей 11.9, либостатьей 12.8, либостатьей 12.26Кодекса Российской Федерации об административных правонарушениях, - наказывается штрафом в размере до шестидесяти тысяч рублей или в размере заработной платы или иного дохода осужденного за период до шести месяцев, либо обязательными работами на срок от ста до ста восьмидесяти часов, либо исправительными работами на срок до одного года, либо принудительными работами на срок до одного года, либо арестом на срок до шести месяцев, либо лишением свободы на срок до одного года. Примечание. Неоднократным несоблюдением лицом, в отношении которого установлен административный надзор, административных ограничения или ограничений, установленных ему судом в соответствии с федеральным законом, признается несоблюдение лицом, в отношении которого установлен административный надзор, административных ограничения или ограничений, установленных ему судом в соответствии с федеральнымзаконом, при условии, что это лицо ранее привлекалось к административной ответственности за аналогичноедеяниедва раза в течение одного года.
Статья 315. Неисполнение приговора суда, решения суда или иного судебного акта;УК РФ Статья 315. Неисполнение приговора суда, решения суда или иного судебного акта  (в ред. Федеральногозаконаот 02.10.2018 N 348-ФЗ) (см. текст в предыдущейредакции) 1. Злостное неисполнение вступивших в законную силу приговора суда, решения суда или иного судебного акта, а равно воспрепятствование их исполнению лицом, подвергнутым административному наказанию за деяние, предусмотренноечастью 4 статьи 17.15Кодекса Российской Федерации об административных правонарушениях, совершенное в отношении того же судебного акта, - наказываются штрафом в размере до пятидесяти тысяч рублей или в размере заработной платы или иного дохода осужденного за период до шести месяцев, либо обязательными работами на срок до двухсот сорока часов, либо исправительными работами на срок до одного года, либо арестом на срок до трех месяцев, либо лишением свободы на срок до одного года. 2. Злостное неисполнение представителем власти, государственным служащим, муниципальным служащим, а также служащим государственного или муниципального учреждения, коммерческой или иной организации вступивших в законную силу приговора суда, решения суда или иного судебного акта, а равно воспрепятствование их исполнению - наказываются штрафом в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев, либо лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет, либо обязательными работами на срок до четырехсот восьмидесяти часов, либо принудительными работами на срок до двух лет, либо арестом на срок до шести месяцев, либо лишением свободы на срок до двух лет.
Статья 316. Укрывательство преступлений;УК РФ Статья 316. Укрывательство преступлений  (в ред. Федеральногозаконаот 06.03.2022 N 38-ФЗ) (см. текст в предыдущейредакции) 1. Заранее не обещанное укрывательствотяжкихпреступлений, совершенных в отношении несовершеннолетних, не достигших четырнадцатилетнего возраста, - наказывается штрафом в размере до ста тысяч рублей или в размере заработной платы или иного дохода осужденного за период до одного года, либо принудительными работами на срок до одного года, либо лишением свободы на тот же срок. 2. Заранее не обещанное укрывательствоособо тяжкихпреступлений - наказывается штрафом в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев, либо принудительными работами на срок до двух лет, либо арестом на срок до шести месяцев, либо лишением свободы на срок до двух лет. Примечание. Лицо не подлежит уголовной ответственности за заранее не обещанное укрывательство преступления, совершенного его супругом или близким родственником.
Статья 317. Посягательство на жизнь сотрудника правоохранительного органа;УК РФ Статья 317. Посягательство на жизнь сотрудника правоохранительного органа Посягательствона жизньсотрудникаправоохранительногооргана,военнослужащего, а равно ихблизкихв целяхвоспрепятствованиязаконнойдеятельности указанных лиц по охране общественного порядка и обеспечению общественной безопасности либо изместиза такую деятельность - наказывается лишением свободы на срок от двенадцати до двадцати лет с ограничением свободы на срок до двух лет, либо пожизненным лишением свободы, либо смертной казнью.
Статья 318. Применение насилия в отношении представителя власти;УК РФ Статья 318. Применение насилия в отношении представителя власти 1. Применениенасилия, не опасного для жизни или здоровья, либо угроза применения насилия в отношениипредставителя властиили егоблизкихв связи сисполнениемим своих должностных обязанностей - наказывается штрафом в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев, либо принудительными работами на срок до пяти лет, либо арестом на срок до шести месяцев, либо лишением свободы на срок до пяти лет. 2. Применениенасилия, опасного для жизни или здоровья, в отношении лиц, указанных вчасти первойнастоящей статьи, - наказывается лишением свободы на срок до десяти лет. Примечание. Представителем власти в настоящей статье и других статьях настоящего Кодекса признаетсядолжностное лицоправоохранительного или контролирующего органа, а также иное должностное лицо, наделенное в установленном законом порядке распорядительными полномочиями в отношении лиц, не находящихся от него в служебной зависимости.
Статья 319. Оскорбление представителя власти;УК РФ Статья 319. Оскорбление представителя власти Публичноеоскорблениепредставителя властиприисполненииим своих должностных обязанностей или в связи с их исполнением - наказывается штрафом в размере до сорока тысяч рублей или в размере заработной платы или иного дохода осужденного за период до трех месяцев, либо обязательными работами на срок до трехсот шестидесяти часов, либо исправительными работами на срок до одного года.
Статья 320. Разглашение сведений о мерах безопасности, применяемых в отношении должностного лица правоохранительного или контролирующего органа;УК РФ Статья 320. Разглашение сведений о мерах безопасности, применяемых в отношении должностного лица правоохранительного или контролирующего органа 1. Разглашение сведений омерах безопасности, применяемых в отношении должностного лица правоохранительного или контролирующего органа, а также его близких, если это деяние совершено лицом, которому эти сведения были доверены или стали известны в связи с его служебной деятельностью (при отсутствии признаков преступления, предусмотренногостатьей 283настоящего Кодекса), - наказывается штрафом в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев, либо обязательными работами на срок до четырехсот восьмидесяти часов, либо ограничением свободы на срок до двух лет, либо арестом на срок до четырех месяцев. 2. То же деяние, повлекшее тяжкие последствия, - наказывается принудительными работами на срок до пяти лет либо лишением свободы на тот же срок.
Статья 321. Дезорганизация деятельности учреждений, обеспечивающих изоляцию от общества;УК РФ Статья 321. Дезорганизация деятельности учреждений, обеспечивающих изоляцию от общества  (в ред. Федеральногозаконаот 09.03.2001 N 25-ФЗ) (см. текст в предыдущейредакции) 1. Применение насилия, не опасного для жизни или здоровья осужденного, либо угроза применения насилия в отношении его с целью воспрепятствовать исправлению осужденного или из мести за оказанное им содействие администрации учреждения или органа уголовно-исполнительной системы - наказываются лишением свободы на срок до пяти лет. 2. Деяния, предусмотренныечастью первойнастоящей статьи, совершенные в отношении сотрудника места лишения свободы или места содержания под стражей в связи с осуществлением им служебной деятельности либо его близких, - наказываются лишением свободы на срок до пяти лет. 3. Деяния, предусмотренныечастями первойивторойнастоящей статьи, совершенные организованной группой либо с применением насилия, опасного для жизни или здоровья, - наказываются лишением свободы на срок от пяти до двенадцати лет. 
Статья 321.1. Передача лицу, содержащемуся в учреждении уголовно-исполнительной системы или месте содержания под стражей, средств мобильной связи и иных средств коммуникации лицом, подвергнутым административному наказанию или имеющим судимость;УК РФ Статья 321.1. Передача лицу, содержащемуся в учреждении уголовно-исполнительной системы или месте содержания под стражей, средств мобильной связи и иных средств коммуникации лицом, подвергнутым административному наказанию или имеющим судимость  (введена Федеральнымзакономот 19.12.2023 N 597-ФЗ)  Передача любым способом лицу, содержащемуся в учреждении уголовно-исполнительной системы или месте содержания под стражей, средств мобильной связи и иных средств коммуникации и (или) обеспечивающих их работу комплектующих к ним, приобретение, хранение или использование которых указанным лицом запрещено законом, совершенная лицом, подвергнутым административному наказанию за деяние, предусмотренноечастью 2 статьи 19.12Кодекса Российской Федерации об административных правонарушениях, или имеющим судимость за совершение преступления, предусмотренного настоящей статьей, - наказывается штрафом в размере от ста тысяч до трехсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до двух лет, либо принудительными работами на срок до двух лет, либо лишением свободы на тот же срок.
Статья 322. Незаконное пересечение Государственной границы Российской Федерации;УК РФ Статья 322. Незаконное пересечение Государственной границы Российской Федерации 1.ПересечениеГосударственной границы Российской Федерации без действительныхдокументовна право въезда в Российскую Федерацию или выезда из Российской Федерации либо без надлежащегоразрешения, полученного в порядке, установленномзаконодательствомРоссийской Федерации, при отсутствии признаков преступлений, предусмотренныхстатьей 283.2настоящего Кодекса, - наказывается штрафом в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев, либо принудительными работами на срок до двух лет, либо лишением свободы на тот же срок. 2.ПересечениеГосударственной границы Российской Федерации при въезде в Российскую Федерацию иностранным гражданином или лицом без гражданства, въезд которым в Российскую Федерациюзаведомодля виновного не разрешен по основаниям, предусмотреннымзаконодательствомРоссийской Федерации, - наказывается штрафом в размере до трехсот тысяч рублей, либо принудительными работами на срок до четырех лет, либо лишением свободы на тот же срок. 3. Деяния, предусмотренныечастями первойиливторойнастоящей статьи, совершенные группой лиц по предварительному сговору или организованной группой либо с применением насилия или с угрозой его применения, - наказываются лишением свободы на срок до пяти лет. Примечание. Действие настоящей статьи не распространяется на случаи прибытия в Российскую Федерацию с нарушением правил пересечения Государственной границы Российской Федерации иностранных граждан и лиц без гражданства для использования права политического убежища в соответствии сКонституциейРоссийской Федерации, если в действиях этих лиц не содержится иного состава преступления. 
Статья 322.1. Организация незаконной миграции;"УК РФ Статья 322.1. Организация незаконной миграции  (введена Федеральнымзакономот 28.12.2004 N 187-ФЗ)  1.Организациянезаконного въезда в Российскую Федерацию иностранных граждан или лиц без гражданства, их незаконного пребывания в Российской Федерации или незаконного транзитного проезда через территорию Российской Федерации - наказывается лишением свободы на срок от двух до пяти лет со штрафом в размере до пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до трех лет либо без такового и с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет или без такового. 2. Те же деяния, совершенные: а) группой лиц по предварительному сговору; б) лицом с использованием своего служебного положения; в) в целях совершения преступления на территории Российской Федерации либо с целью скрыть другое преступление или облегчить его совершение; г) с использованием поддельных документов, а равно с изъятием, сокрытием либо уничтожением документов, удостоверяющих личность; д) с использованием информационно-телекоммуникационных сетей, в том числе сети ""Интернет"", - наказываются лишением свободы на срок от пяти до десяти лет со штрафом в размере до одного миллиона рублей или в размере заработной платы или иного дохода осужденного за период до пяти лет либо без такового и с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до семи лет или без такового. 3. Деяния, предусмотренныечастью первойиливторойнастоящей статьи, совершенные организованной группой или в целях совершения тяжких или особо тяжких преступлений на территории Российской Федерации, - наказываются лишением свободы на срок от восьми до пятнадцати лет со штрафом в размере от трех миллионов до пяти миллионов рублей или в размере заработной платы или иного дохода осужденного за период от трех до пяти лет либо без такового и с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до десяти лет или без такового. "
Статья 322.2. Фиктивная регистрация гражданина Российской Федерации по месту пребывания или по месту жительства в жилом помещении в Российской Федерации и фиктивная регистрация иностранного гражданина или лица без гражданства по месту жительства в жилом помещении в Российской Федерации;УК РФ Статья 322.2. Фиктивная регистрация гражданина Российской Федерации по месту пребывания или по месту жительства в жилом помещении в Российской Федерации и фиктивная регистрация иностранного гражданина или лица без гражданства по месту жительства в жилом помещении в Российской Федерации  (введена Федеральнымзакономот 21.12.2013 N 376-ФЗ)  Фиктивная регистрациягражданина Российской Федерации по месту пребывания или по месту жительства в жилом помещении в Российской Федерации, а равнофиктивная регистрацияиностранного гражданина или лица без гражданства по месту жительства в жилом помещении в Российской Федерации - наказываются штрафом в размере от ста тысяч до пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до пяти лет, либо принудительными работами на срок до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет или без такового, либо лишением свободы на срок до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет или без такового. Примечание. Лицо, совершившее преступление, предусмотренное настоящей статьей, освобождается от уголовной ответственности, если оноспособствовалораскрытию этого преступления и если в его действиях не содержится иного состава преступления. 
Статья 322.3. Фиктивная постановка на учет иностранного гражданина или лица без гражданства по месту пребывания в Российской Федерации;УК РФ Статья 322.3. Фиктивная постановка на учет иностранного гражданина или лица без гражданства по месту пребывания в Российской Федерации  (введена Федеральнымзакономот 21.12.2013 N 376-ФЗ)  Фиктивная постановка на учет иностранного гражданина или лица без гражданства по месту пребывания в Российской Федерации - наказывается штрафом в размере от ста тысяч до пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до пяти лет, либо принудительными работами на срок до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет или без такового, либо лишением свободы на срок до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до пяти лет или без такового. Примечания. 1. Под фиктивной постановкой на учет иностранных граждан или лиц без гражданства по месту пребывания в Российской Федерации понимается постановка их на учет по месту пребывания в Российской Федерации на основании представления заведомо недостоверных (ложных) сведений или документов, либо постановка иностранных граждан или лиц без гражданства на учет по месту пребывания в Российской Федерации в помещении без их намерения фактически проживать (пребывать) в этом помещении или без намерения принимающей стороны предоставить им это помещение для фактического проживания (пребывания), либо постановка иностранных граждан или лиц без гражданства на учет по месту пребывания по адресу организации, в которой они в установленном порядке не осуществляют трудовую или иную не запрещенную законодательством Российской Федерации деятельность. 2. Лицо, совершившее преступление, предусмотренное настоящей статьей, освобождается от уголовной ответственности, если оноспособствовалораскрытию этого преступления и если в его действиях не содержится иного состава преступления.
Статья 323. Противоправное изменение Государственной границы Российской Федерации;УК РФ Статья 323. Противоправное изменение Государственной границы Российской Федерации 1. Изъятие, перемещение или уничтожение пограничных знаков в целях противоправного изменения Государственной границы Российской Федерации - наказываются ограничением свободы на срок до двух лет, либо арестом на срок до шести месяцев, либо лишением свободы на срок до двух лет. 2. Те же деяния, повлекшие тяжкие последствия, - наказываются лишением свободы на срок до четырех лет.
Статья 324. Приобретение или сбыт официальных документов и государственных наград;УК РФ Статья 324. Приобретение или сбыт официальных документов и государственных наград Незаконныеприобретениеилисбытофициальныхдокументов, предоставляющих права или освобождающих от обязанностей, а также государственных наград Российской Федерации, РСФСР, СССР - наказываются штрафом в размере до восьмидесяти тысяч рублей или в размере заработной платы или иного дохода осужденного за период до шести месяцев, либо исправительными работами на срок до одного года, либо арестом на срок до трех месяцев.
Статья 325. Похищение или повреждение документов, штампов, печатей либо похищение акцизных марок, специальных марок или знаков соответствия;УК РФ Статья 325. Похищение или повреждение документов, штампов, печатей либо похищение акцизных марок, специальных марок или знаков соответствия 1. Похищение, уничтожение, повреждение или сокрытиеофициальныхдокументов, штампов или печатей, совершенные из корыстной или иной личной заинтересованности, - наказываются штрафом в размере до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев, либо обязательными работами на срок до четырехсот восьмидесяти часов, либо исправительными работами на срок до двух лет, либо принудительными работами на срок до одного года, либо арестом на срок до четырех месяцев, либо лишением свободы на срок до одного года. 2. Похищение у гражданина паспорта илидругоговажного личного документа - наказывается штрафом в размере до восьмидесяти тысяч рублей или в размере заработной платы или иного дохода осужденного за период до шести месяцев, либо обязательными работами на срок до трехсот шестидесяти часов, либо исправительными работами на срок до одного года, либо арестом на срок до трех месяцев. 3. Похищение акцизных марок, специальных марок или знаков соответствия, защищенных от подделок, - наказывается штрафом до двухсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до восемнадцати месяцев, либо принудительными работами на срок до двух лет, либо лишением свободы на тот же срок.
